BUJUR	LINTANG	KEPERCAYAAN	REGION	PROVINSI	KABUPATEN	KECAMATAN	SATELIT	TANGGAL(WIB)	WAKTU(WIB)	RADIUS KEMUNGKINAN	TIPE
110.4445	-7.5447	8	JAWA	DI YOGYAKARTA	SLEMAN	PAKEM	NOAA20	2023-08-24	00:58:57	1125	Pixel		
107.3460	-6.7961	8	JAWA	JAWA BARAT	BANDUNG BARAT	CIPATAT	NOAA20	2023-08-24	00:58:57	1125	Pixel		
107.3496	-6.7967	8	JAWA	JAWA BARAT	BANDUNG BARAT	CIPATAT	NOAA20	2023-08-24	00:58:57	1125	Pixel		
107.3484	-6.8034	8	JAWA	JAWA BARAT	BANDUNG BARAT	CIPATAT	NOAA20	2023-08-24	00:58:57	1125	Pixel		
107.3490	-6.8000	8	JAWA	JAWA BARAT	BANDUNG BARAT	CIPATAT	NOAA20	2023-08-24	00:58:57	1125	Pixel		
107.3492	-6.8013	8	JAWA	JAWA BARAT	BANDUNG BARAT	CIPATAT	NOAA20	2023-08-24	13:38:34	1125	Pixel		
107.3504	-6.7956	8	JAWA	JAWA BARAT	BANDUNG BARAT	CIPATAT	SNPP	2023-08-24	01:54:27	1125	Pixel		
107.3475	-6.7946	8	JAWA	JAWA BARAT	BANDUNG BARAT	CIPATAT	SNPP	2023-08-24	01:54:27	1125	Pixel		
107.3460	-6.7950	8	JAWA	JAWA BARAT	BANDUNG BARAT	CIPATAT	SNPP	2023-08-24	01:54:27	1125	Pixel		
107.3473	-6.8007	8	JAWA	JAWA BARAT	BANDUNG BARAT	CIPATAT	SNPP	2023-08-24	01:54:27	1125	Pixel		
107.2108	-6.9629	8	JAWA	JAWA BARAT	BANDUNG BARAT	RONGGA	SNPP	2023-08-24	12:45:57	1125	Pixel		
107.2097	-6.9582	8	JAWA	JAWA BARAT	BANDUNG BARAT	RONGGA	SNPP	2023-08-24	12:45:57	1125	Pixel		
107.8866	-6.9731	8	JAWA	JAWA BARAT	BANDUNG	CICALENGKA	NOAA20	2023-08-24	13:38:34	1125	Pixel		
107.8910	-6.9724	8	JAWA	JAWA BARAT	BANDUNG	CICALENGKA	NOAA20	2023-08-24	13:38:34	1125	Pixel		
107.2126	-6.4605	8	JAWA	JAWA BARAT	BEKASI	BOJONGMANGU	SNPP	2023-08-24	01:54:27	1125	Pixel		
107.1037	-6.2008	8	JAWA	JAWA BARAT	BEKASI	CIBITUNG	SNPP	2023-08-24	01:54:27	1125	Pixel		
108.6241	-6.8938	8	JAWA	JAWA BARAT	CIREBON	KARANGWARENG	NOAA20	2023-08-24	13:38:34	1125	Pixel		
108.7221	-6.9444	8	JAWA	JAWA BARAT	CIREBON	PASALEMAN	SNPP	2023-08-24	12:45:57	1125	Pixel		
108.7217	-6.9450	8	JAWA	JAWA BARAT	CIREBON	PASALEMAN	SNPP	2023-08-24	12:45:57	1125	Pixel		
108.5014	-6.7402	8	JAWA	JAWA BARAT	CIREBON	SUMBER	NOAA20	2023-08-24	13:38:34	1125	Pixel		
107.7779	-7.3921	8	JAWA	JAWA BARAT	GARUT	CIKAJANG	SNPP	2023-08-24	12:45:57	1125	Pixel		
